u (cm/s),C_d
37.33369668,0.768153402
38.00187787,0.762139367
39.07126457,0.759176868
39.07059004,0.744040601
36.12967545,0.749917034
35.86189033,0.740819085
35.59424012,0.73474839
35.32658992,0.728677695
34.9251146,0.719571652
34.65746439,0.713500956
34.52336948,0.704411102
34.38913966,0.692293994
34.25504475,0.68320414
34.65557573,0.671119409
34.25464003,0.67412238
34.65611535,0.683228423
34.92403537,0.695353625
35.05799538,0.701416226
35.7271209,0.716592964
36.12886602,0.731753514
36.66416644,0.743894904
37.19879234,0.740900028
37.46603783,0.737888963
37.73341823,0.737905151
38.26817903,0.737937528
38.53569434,0.74098097
39.60562065,0.750127485
40.14024655,0.747132608
40.40749205,0.744121543
40.40681753,0.728985277
41.87619559,0.701829033
43.07913758,0.695847375
41.34210931,0.716932923
41.20868892,0.722979335
41.20895873,0.729033842
39.20306611,0.716803415
39.20239158,0.701667148
39.60305747,0.69260967
36.66322211,0.722704131
37.06415781,0.71970116
37.59851389,0.710651777
38.26736961,0.719774008
38.26656018,0.701610488
37.59797428,0.698542763
37.19717348,0.704572987
36.79623779,0.707575958
36.395437,0.713606182
35.86067619,0.713573805
35.45906598,0.701440509
35.45879617,0.695386002
35.32456635,0.683268894
35.19074125,0.680233546
35.19006672,0.66509728
35.59086752,0.659067056
35.99247773,0.671200352
35.59140713,0.671176069
35.72563695,0.683293177
35.99369187,0.698445632
36.39489738,0.701497168
36.66187307,0.692431597
36.26053266,0.686352807
36.39395305,0.680306395
36.66079383,0.66821357
36.92857894,0.677311518
37.06267386,0.686401373
37.19663387,0.692463974
37.73125976,0.689469097
38.39957586,0.686482315
38.93433666,0.686514692
38.26534604,0.674365208
37.86441035,0.677368178
37.46347465,0.680371149
37.59662523,0.66827023
37.59608562,0.656161216
38.26467152,0.659228941
38.39863153,0.665291542
38.5315123,0.647136116
37.9967515,0.647103739
37.4618558,0.644044108
36.7935397,0.64703089
36.258644,0.64397126
35.85757339,0.643946977
35.18912239,0.643906506
34.65422669,0.640846875
34.38698119,0.64385794
34.1200055,0.652923512
33.98658511,0.658969924
33.85289491,0.65896183
33.05007919,0.643776998
32.91611918,0.637714397
33.18295996,0.625621572
33.45047527,0.628665014
33.85127606,0.62263479
33.98537097,0.631724644
35.99072398,0.631846058
36.65917498,0.631886529
37.32776088,0.634954254
37.99607698,0.631967472
39.06573349,0.635059479
39.19996331,0.647176587
39.7345892,0.644181711
40.13592961,0.6502605
39.86935864,0.668407832
40.27083395,0.677513875
40.40479396,0.683576476
41.07364968,0.692698707
41.07297515,0.67756244
41.34008575,0.671524122
41.74061673,0.659439392
42.40893283,0.656452609
42.94355872,0.653457733
43.21161364,0.668610189
40.53713512,0.653312036
41.07189592,0.653344413
41.60638691,0.647322284
42.140743,0.638272901
41.60584729,0.63521327
40.8039759,0.641219211
40.5364606,0.63817577
40.00142999,0.632088886
39.60022448,0.62903735
39.19847936,0.6138768
38.93096405,0.610833358
37.72815696,0.61984227
