Shields stress,slope (m/m),median grain size (cm),flow depth (cm),density (g/cm3),Re (reported),Re (calculated),Flow velocity(m/s),phi,Incipient Motion
0.067,1.11E-03,0.045,4.5,2.65,12,9.935990829,nan,0.66,Visual
0.043,7.10E-04,0.048,4.8,2.65,8,8.769020671,nan,0.53,Visual
0.048,1.58E-03,0.048,2.4,2.65,9,9.264830636,nan,0.53,Visual
0.049,1.62E-03,0.048,2.4,2.65,8.6,9.360841808,nan,0.53,Visual
0.052,8.58E-04,0.044,4.4,2.65,7.8,8.463221287,nan,0.82,Visual
0.049,1.62E-03,0.044,2.2,2.65,7.6,8.21546339,nan,0.44,Visual
0.063,2.08E-03,0.044,2.2,2.65,8.2,9.315459873,nan,0.44,Visual
0.053,8.75E-04,0.04,4,2.65,6.6,7.405986767,nan,0.69,Visual
0.053,1.75E-03,0.04,2,2.65,6.7,7.405986767,nan,0.69,Visual
0.059,1.95E-03,0.04,2,2.65,7,7.813956744,nan,0.69,Visual
0.048,1.58E-03,0.034,1.7,2.65,5.5,5.523241135,nan,0.37,Visual
0.076,1.00E-03,0.025,3.12,2.65,5.1,4.37848741,nan,0.53,Visual
0.038,2.51E-03,0.4,10,2.65,196,198.3064295,nan,0.56,Visual
0.042,3.47E-03,0.4,8,2.65,200,208.4825173,nan,0.56,Visual
0.045,4.46E-03,0.4,6.67,2.65,212,215.8538506,nan,0.56,Visual
0.074,9.77E-04,0.018,2.25,2.65,2.4,2.641676468,nan,0.32,Visual
0.061,7.42E-05,0.0134,16.75,2.52,1.5,1.478621262,nan,0,Visual
